drug	category
nadolol	Autonomic Agents
nadolol	Beta Blocking Agents and Thiazides
nadolol	Beta Blocking Agents, Non-Selective
nadolol	Beta Blocking Agents, Non-Selective, and Thiazides
nadolol	Bradycardia-Causing Agents
nadolol	Cardiovascular Agents
nadolol	Cardiovascular System
nadolol	Hypotensive Agents
nadolol	Neurotransmitter Agents
nadolol	P-glycoprotein/ABCB1 Substrates
nadolol	Peripheral Nervous System Agents
nadolol	Phenoxypropanolamines
nadolol	Propanolamines
nadolol	Propanols
nadolol	Sympatholytics
aluminum chloride	Acids
aluminum chloride	Acids, Noncarboxylic
aluminum chloride	Anions
aluminum chloride	Anti-Acne Preparations
aluminum chloride	Anti-Acne Preparations for Topical Use
aluminum chloride	Astringents
aluminum chloride	Astringents and Deodorants
aluminum chloride	Chlorine Compounds
aluminum chloride	Dental Agents
aluminum chloride	Dermatologicals
aluminum chloride	Electrolytes
aluminum chloride	Hydrochloric Acid
aluminum chloride	Ions
artemisia tridentata pollen	Non-Standardized Pollen Allergenic Extract
hydroxyamphetamine	Amines
hydroxyamphetamine	Amphetamines
hydroxyamphetamine	Autonomic Agents
hydroxyamphetamine	Ethylamines
hydroxyamphetamine	Mydriatics
hydroxyamphetamine	Peripheral Nervous System Agents
hydroxyamphetamine	Phenethylamines
hydroxyamphetamine	Sympathomimetics
doxorubicin	Anthracycline Topoisomerase Inhibitor
doxorubicin	Anthracyclines
doxorubicin	Anthracyclines and Related Substances
doxorubicin	Antibiotics, Antineoplastic
doxorubicin	Antineoplastic Agents
doxorubicin	Antineoplastic and Immunomodulating Agents
doxorubicin	BCRP/ABCG2 Substrates
doxorubicin	Carbohydrates
doxorubicin	Cardiotoxic antineoplastic agents
doxorubicin	Cytochrome P-450 Enzyme Inhibitors
doxorubicin	Cytotoxic Antibiotics and Related Substances
doxorubicin	Daunorubicin
doxorubicin	Enzyme Inhibitors
doxorubicin	Glycosides
doxorubicin	Hydrocarbons
doxorubicin	Hydrocarbons, Aromatic
doxorubicin	Hydrocarbons, Cyclic
doxorubicin	Immunosuppressive Agents
doxorubicin	Myelosuppressive Agents
doxorubicin	Naphthacenes
doxorubicin	P-glycoprotein/ABCB1 Inducers
doxorubicin	P-glycoprotein/ABCB1 Substrates
doxorubicin	Polycyclic Compounds
doxorubicin	Polycyclic Hydrocarbons, Aromatic
doxorubicin	Topoisomerase II Inhibitors
doxorubicin	Topoisomerase Inhibitors
lixisenatide	Alimentary Tract and Metabolism
lixisenatide	Amino Acids, Peptides, and Proteins
lixisenatide	Blood Glucose Lowering Agents
lixisenatide	Drugs Used in Diabetes
lixisenatide	GLP-1 Agonists
lixisenatide	Incretin Mimetics
phylloquinone	Antifibrinolytic Agents
phylloquinone	Blood and Blood Forming Organs
phylloquinone	Coagulants
phylloquinone	Diet, Food, and Nutrition
phylloquinone	Diterpenes
phylloquinone	Fibrin Modulating Agents
phylloquinone	Food
phylloquinone	Food and Beverages
phylloquinone	Growth Substances
phylloquinone	Hematologic Agents
phylloquinone	Hemostatics
phylloquinone	Hydrocarbons
phylloquinone	Hydrocarbons, Aromatic
phylloquinone	Hydrocarbons, Cyclic
phylloquinone	Micronutrients
phylloquinone	Naphthalenes
phylloquinone	Naphthoquinones
phylloquinone	Physiological Phenomena
phylloquinone	Phytol
phylloquinone	Polycyclic Compounds
phylloquinone	Polycyclic Hydrocarbons, Aromatic
phylloquinone	Quinones
phylloquinone	Terpenes
phylloquinone	Vitamin K
phylloquinone	Vitamin K Activity
phylloquinone	Vitamins
phylloquinone	Vitamins (Fat Soluble)
phylloquinone	Warfarin Reversal Agent
hydrochlorothiazide	Amides
hydrochlorothiazide	Antihypertensive Agents
hydrochlorothiazide	Benzothiadiazines
hydrochlorothiazide	Cardiovascular Agents
hydrochlorothiazide	Cardiovascular System
hydrochlorothiazide	Chlorothiazide
hydrochlorothiazide	Diuretics
hydrochlorothiazide	Genito Urinary System and Sex Hormones
hydrochlorothiazide	Gynecological Antiinfectives and Antiseptics
hydrochlorothiazide	Heterocyclic Compounds
hydrochlorothiazide	Heterocyclic Compounds, 2-Ring
hydrochlorothiazide	Hyperglycemia-Associated Agents
hydrochlorothiazide	Hypotensive Agents
hydrochlorothiazide	Low-Ceiling Diuretics and Potassium-Sparing Agents
hydrochlorothiazide	Low-Ceiling Diuretics, Thiazides
hydrochlorothiazide	Membrane Transport Modulators
hydrochlorothiazide	Natriuretic Agents
hydrochlorothiazide	Non Potassium Sparing Diuretics
hydrochlorothiazide	Sodium Chloride Symporter Inhibitors
hydrochlorothiazide	Sulfonamides
hydrochlorothiazide	Sulfones
hydrochlorothiazide	Sulfur Compounds
hydrochlorothiazide	Thiazides
hydrochlorothiazide	Thiazides, Plain
trichophyton rubrum	Non-Standardized Fungal Allergenic Extract
loxapine	Antipsychotic Agents
loxapine	Antipsychotic Agents (First Generation [Typical])
loxapine	Central Nervous System Agents
loxapine	Central Nervous System Depressants
loxapine	Diazepines, Oxazepines, Thiazepines and Oxepines
loxapine	Dibenzoxazepines
loxapine	Dopamine Agents
loxapine	Dopamine Antagonists
loxapine	Dopamine D2 Receptor Antagonists
loxapine	Heterocyclic Compounds
loxapine	Heterocyclic Compounds, 3-Ring
loxapine	Loxapine
loxapine	Miscellaneous Antipsychotics
loxapine	Nervous System
loxapine	Neurotransmitter Agents
loxapine	P-glycoprotein/ABCB1 Inhibitors
loxapine	Psycholeptics
loxapine	Psychotropic Drugs
loxapine	Serotonin 5-HT2 Receptor Antagonists
loxapine	Serotonin Receptor Antagonists
loxapine	Tranquilizing Agents
ataluren	Azoles
ataluren	Heterocyclic Compounds
ataluren	Heterocyclic Compounds, 1-Ring
ataluren	Musculo-Skeletal System
ataluren	Oxazoles
neostigmine	Amines
neostigmine	Ammonium Compounds
neostigmine	Antiglaucoma Preparations and Miotics
neostigmine	Autonomic Agents
neostigmine	Cholinergic Agents
neostigmine	Cholinesterase Inhibitors
neostigmine	Enzyme Inhibitors
neostigmine	Nervous System
neostigmine	Neurotransmitter Agents
neostigmine	Nitrogen Compounds
neostigmine	Onium Compounds
neostigmine	Ophthalmologicals
neostigmine	P-glycoprotein/ABCB1 Substrates
neostigmine	Parasympathomemetic (Cholinergic) Agents
neostigmine	Parasympathomimetics
neostigmine	Peripheral Nervous System Agents
neostigmine	Phenylammonium Compounds
neostigmine	Quaternary Ammonium Compounds
neostigmine	Sensory Organs
haloperidol	Anti-Dyskinesia Agents
haloperidol	Antiemetics
haloperidol	Antipsychotic Agents
haloperidol	Antipsychotic Agents (First Generation [Typical])
haloperidol	Autonomic Agents
haloperidol	Butyrophenone Derivatives
haloperidol	Butyrophenones
haloperidol	Central Nervous System Agents
haloperidol	Central Nervous System Depressants
haloperidol	Cytochrome P-450 CYP1A2 Substrates
haloperidol	Cytochrome P-450 CYP2D6 Inhibitors
haloperidol	Cytochrome P-450 CYP2D6 Inhibitors (moderate)
haloperidol	Cytochrome P-450 CYP2D6 Substrates
haloperidol	Cytochrome P-450 CYP3A Substrates
haloperidol	Cytochrome P-450 CYP3A4 Substrates
haloperidol	Cytochrome P-450 CYP3A5 Substrates
haloperidol	Cytochrome P-450 CYP3A7 Substrates
haloperidol	Cytochrome P-450 Enzyme Inducers
haloperidol	Cytochrome P-450 Enzyme Inhibitors
haloperidol	Dopamine Agents
haloperidol	Dopamine Antagonists
haloperidol	Dopamine D2 Receptor Antagonists
haloperidol	Gastrointestinal Agents
haloperidol	Ketones
haloperidol	Moderate Risk QTc-Prolonging Agents
haloperidol	Nervous System
haloperidol	Neurotransmitter Agents
haloperidol	NMDA Receptor Antagonists
haloperidol	P-glycoprotein/ABCB1 Inhibitors
haloperidol	Peripheral Nervous System Agents
haloperidol	Psycholeptics
haloperidol	Psychotropic Drugs
haloperidol	QTc Prolonging Agents
haloperidol	Tranquilizing Agents
quercus agrifolia pollen	Non-Standardized Pollen Allergenic Extract
theophylline	Alkaloids
theophylline	Anti-Asthmatic Agents
theophylline	Autonomic Agents
theophylline	Bronchodilator Agents
theophylline	Cardiovascular Agents
theophylline	Cytochrome P-450 CYP1A2 Inhibitors
theophylline	Cytochrome P-450 CYP1A2 Inhibitors (moderate)
theophylline	Cytochrome P-450 CYP1A2 Substrates
theophylline	Cytochrome P-450 CYP3A Substrates
theophylline	Cytochrome P-450 CYP3A4 Substrates
theophylline	Cytochrome P-450 Enzyme Inhibitors
theophylline	Drugs for Obstructive Airway Diseases
theophylline	Enzyme Inhibitors
theophylline	Heterocyclic Compounds
theophylline	Heterocyclic Compounds, 2-Ring
theophylline	Neurotransmitter Agents
theophylline	Peripheral Nervous System Agents
theophylline	Phosphodiesterase 3 Inhibitors
theophylline	Phosphodiesterase 4 Inhibitors
theophylline	Phosphodiesterase 5 Inhibitors
theophylline	Phosphodiesterase Inhibitors
theophylline	Purinergic Agents
theophylline	Purinergic Antagonists
theophylline	Purinergic P1 Receptor Antagonists
theophylline	Purines
theophylline	Purinones
theophylline	Respiratory Smooth Muscle Relaxants
theophylline	Respiratory System
theophylline	Respiratory System Agents
theophylline	Theophylline Derivatives
theophylline	Vasodilating Agents
theophylline	Xanthine derivatives
theophylline	Xanthines and Adrenergics
tocofersolan	Alcohols
tocofersolan	Alimentary Tract and Metabolism
tocofersolan	Benzopyrans
tocofersolan	Biomedical and Dental Materials
tocofersolan	Drug Carriers
tocofersolan	Ethylene Glycols
tocofersolan	Glycols
tocofersolan	Heterocyclic Compounds
tocofersolan	Heterocyclic Compounds, 1-Ring
tocofersolan	Heterocyclic Compounds, 2-Ring
tocofersolan	Macromolecular Substances
tocofersolan	Manufactured Materials
tocofersolan	Polymers
tocofersolan	Pyrans
tocofersolan	Specialty Uses of Chemicals
tocofersolan	Technology, Industry, and Agriculture
tocofersolan	Vitamins
cycrimine	Anticholinergic Agents
cycrimine	Heterocyclic Compounds
cycrimine	Heterocyclic Compounds, 1-Ring
cycrimine	Muscarinic Antagonists
l-arginine	Amino Acids
l-arginine	Amino Acids, Basic
l-arginine	Amino Acids, Diamino
l-arginine	Amino Acids, Essential
l-arginine	Amino Acids, Peptides, and Proteins
l-arginine	Blood and Blood Forming Organs
l-arginine	Blood Substitutes and Perfusion Solutions
l-arginine	Dietary Supplements
l-arginine	I.V. Solution Additives
l-arginine	Pituitary Function
l-arginine	Supplements
pertuzumab	Amino Acids, Peptides, and Proteins
pertuzumab	Antibodies
pertuzumab	Antibodies, Monoclonal
pertuzumab	Antineoplastic Agents
pertuzumab	Antineoplastic and Immunomodulating Agents
pertuzumab	Blood Proteins
pertuzumab	Breast Neoplasms
pertuzumab	Globulins
pertuzumab	Immunoglobulins
pertuzumab	Immunoproteins
pertuzumab	Proteins
pertuzumab	Receptor, ErbB-2, antagonists & inhibitors
pertuzumab	Serum Globulins
inulin	Biomedical and Dental Materials
inulin	Biopolymers
inulin	Carbohydrates
inulin	Diagnostic Agents
inulin	Fructans
inulin	Glucans
inulin	Macromolecular Substances
inulin	Manufactured Materials
inulin	Polymers
inulin	Polysaccharides
inulin	Specialty Uses of Chemicals
inulin	Starch
inulin	Technology, Industry, and Agriculture
inulin	Tests for Renal Function and Ureteral Injuries
medicago sativa pollen	Non-Standardized Pollen Allergenic Extract
melatonin	Amines
melatonin	Antioxidants
melatonin	Biogenic Amines
melatonin	Biogenic Monoamines
melatonin	Central Nervous System Agents
melatonin	Central Nervous System Depressants
melatonin	Cytochrome P-450 CYP1A2 Substrates
melatonin	Cytochrome P-450 Enzyme Inhibitors
melatonin	Heterocyclic Compounds
melatonin	Heterocyclic Compounds, 2-Ring
melatonin	Hormones
melatonin	Hormones, Hormone Substitutes, and Hormone Antagonists
melatonin	Hypnotics and Sedatives
melatonin	Indoles
melatonin	Melatonin Receptor Agonists
melatonin	Nervous System
melatonin	Protective Agents
melatonin	Psycholeptics
melatonin	Specialty Uses of Chemicals
melatonin	Tryptamines
cloxacillin	Amides
cloxacillin	Anti-Bacterial Agents
cloxacillin	Anti-Infective Agents
cloxacillin	Antibacterials for Systemic Use
cloxacillin	Antiinfectives for Systemic Use
cloxacillin	Aza Compounds
cloxacillin	Azabicyclo Compounds
cloxacillin	Beta-Lactam Antibacterials, Penicillins
cloxacillin	Beta-Lactamase Resistant Penicillins
cloxacillin	beta-Lactams
cloxacillin	Bicyclo Compounds
cloxacillin	Bicyclo Compounds, Heterocyclic
cloxacillin	Bridged Compounds
cloxacillin	Heterocyclic Compounds
cloxacillin	Heterocyclic Compounds, 1-Ring
cloxacillin	Heterocyclic Compounds, 2-Ring
cloxacillin	Heterocyclic Compounds, Bridged-Ring
cloxacillin	Hydrocarbons
cloxacillin	Hydrocarbons, Cyclic
cloxacillin	Lactams
cloxacillin	Oxacillin
cloxacillin	Penicillinase-resistant Penicillins
cloxacillin	Penicillins
cloxacillin	Polycyclic Compounds
cloxacillin	Sulfur Compounds
lanolin	Basic Ointments and Protectants
lanolin	Cosmetics
lanolin	Household Products
lanolin	Lipids
lanolin	Specialty Uses of Chemicals
lanolin	Technology, Industry, and Agriculture
lanolin	Waxes
hydralazine	Antihypertensive Agents
hydralazine	Arteriolar Smooth Muscle, Agents Acting On
hydralazine	Arteriolar Vasodilator
hydralazine	Cardiovascular Agents
hydralazine	Cardiovascular System
hydralazine	Cytochrome P-450 Enzyme Inhibitors
hydralazine	Direct Vasodilators
hydralazine	Heterocyclic Compounds
hydralazine	Heterocyclic Compounds, 1-Ring
hydralazine	Hydrazinophthalazine Derivatives
hydralazine	Hydrazinophthalazine Derivatives and Diuretics
hydralazine	Hypotensive Agents
hydralazine	Phthalazines
hydralazine	Pyridazines
hydralazine	Vasodilating Agents
nelarabine	Antimetabolites
nelarabine	Antineoplastic Agents
nelarabine	Antineoplastic and Immunomodulating Agents
nelarabine	Carbohydrates
nelarabine	Glycosides
nelarabine	Immunosuppressive Agents
nelarabine	Myelosuppressive Agents
nelarabine	Nucleic Acids, Nucleotides, and Nucleosides
nelarabine	Nucleoside Metabolic Inhibitor
nelarabine	Nucleosides
nelarabine	Purine Analogues
brotizolam	Benzodiazepine hypnotics and sedatives
brotizolam	Benzodiazepines and benzodiazepine derivatives
brotizolam	Central Nervous System Agents
brotizolam	Central Nervous System Depressants
brotizolam	Heterocyclic Compounds
brotizolam	Heterocyclic Compounds, 1-Ring
brotizolam	Hypnotics and Sedatives
brotizolam	Nervous System
brotizolam	Psycholeptics
empagliflozin	Alimentary Tract and Metabolism
empagliflozin	Benzene Derivatives
empagliflozin	Blood Glucose Lowering Agents
empagliflozin	Carbohydrates
empagliflozin	Diuretics
empagliflozin	Drugs Used in Diabetes
empagliflozin	Glycosides
empagliflozin	Hydrocarbons
empagliflozin	Hydrocarbons, Aromatic
empagliflozin	Hydrocarbons, Cyclic
empagliflozin	Hypotensive Agents
empagliflozin	Oral Hypoglycemics
empagliflozin	Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors
mebendazole	Acids, Acyclic
mebendazole	Anthelmintics
mebendazole	Anti-Infective Agents
mebendazole	Antihelminthic
mebendazole	Antimitotic Agents
mebendazole	Antinematodal Agents
mebendazole	Antiparasitic Agents
mebendazole	Antiparasitic Products, Insecticides and Repellents
mebendazole	Benzimidazole Derivatives
mebendazole	Benzimidazoles
mebendazole	Carbamates
mebendazole	Carboxylic Acids
mebendazole	Heterocyclic Compounds
mebendazole	Heterocyclic Compounds, 2-Ring
mebendazole	Mitosis Modulators
mebendazole	Tubulin Modulators
ramelteon	Central Nervous System Depressants
ramelteon	Cytochrome P-450 CYP1A2 Substrates
ramelteon	Hydrocarbons
ramelteon	Hydrocarbons, Aromatic
ramelteon	Hydrocarbons, Cyclic
ramelteon	Hypnotics and Sedatives
ramelteon	Melatonin Receptor Agonists
ramelteon	Nervous System
ramelteon	Polycyclic Compounds
ramelteon	Polycyclic Hydrocarbons, Aromatic
ramelteon	Psycholeptics
phenol	Anesthetics
phenol	Anesthetics, Local
phenol	Anti-Infective Agents
phenol	Anti-Infective Agents, Local
phenol	Antiseptics and Disinfectants
phenol	Antivaricose Therapy
phenol	Benzene Derivatives
phenol	Cardiovascular Agents
phenol	Cardiovascular System
phenol	Dermatologicals
phenol	Disinfectants
phenol	Hydrocarbons
phenol	Hydrocarbons, Aromatic
phenol	Hydrocarbons, Cyclic
phenol	Nervous System
phenol	Pharmaceutical Preparations
phenol	Pharmaceutical Solutions
phenol	Phenol and Derivatives
phenol	Phenols
phenol	Respiratory System
phenol	Sclerosing Agents for Local Injection
phenol	Sclerosing Solutions
phenol	Solutions
phenol	Specialty Uses of Chemicals
phenol	Throat Preparations
phenol	Vasoprotectives
atropine	Adjuvants, Anesthesia
atropine	Alimentary Tract and Metabolism
atropine	Alkaloids
atropine	Anti-Asthmatic Agents
atropine	Antiarrhythmic agents
atropine	Anticholinergic Agents
atropine	Antimuscarinics Antispasmodics
atropine	Atropine Derivatives
atropine	Autonomic Agents
atropine	Aza Compounds
atropine	Azabicyclo Compounds
atropine	Belladonna Alkaloids
atropine	Belladonna Alkaloids, Tertiary Amines
atropine	Belladonna and Derivatives, Plain
atropine	Bicyclo Compounds
atropine	Bicyclo Compounds, Heterocyclic
atropine	Bridged Compounds
atropine	Bronchodilator Agents
atropine	Cardiovascular Agents
atropine	Central Nervous System Agents
atropine	Cholinergic Agents
atropine	Cytochrome P-450 Enzyme Inhibitors
atropine	Drugs for Functional Gastrointestinal Disorders
atropine	Heterocyclic Compounds
atropine	Heterocyclic Compounds, 2-Ring
atropine	Heterocyclic Compounds, Bridged-Ring
atropine	Hydrocarbons
atropine	Hydrocarbons, Cyclic
atropine	Muscarinic Antagonists
atropine	Mydriatics
atropine	Mydriatics and Cycloplegics
atropine	Neurotransmitter Agents
atropine	Ophthalmologicals
atropine	Parasympatholytics
atropine	Peripheral Nervous System Agents
atropine	Polycyclic Compounds
atropine	Respiratory System Agents
atropine	Sensory Organs
atropine	Solanaceous Alkaloids
atropine	Tropanes
oseltamivir	Acetamides
oseltamivir	Acetates
oseltamivir	Acids, Acyclic
oseltamivir	Amides
oseltamivir	Anti-Infective Agents
oseltamivir	Antiinfectives for Systemic Use
oseltamivir	Antiviral Agents
oseltamivir	Antivirals for Systemic Use
oseltamivir	Carboxylic Acids
oseltamivir	Cyclohexanes
oseltamivir	Cyclohexenes
oseltamivir	Cycloparaffins
oseltamivir	Direct Acting Antivirals
oseltamivir	Enzyme Inhibitors
oseltamivir	Fatty Acids
oseltamivir	Fatty Acids, Volatile
oseltamivir	Hydrocarbons
oseltamivir	Hydrocarbons, Alicyclic
oseltamivir	Hydrocarbons, Cyclic
oseltamivir	Lipids
oseltamivir	Macrocyclic Compounds
oseltamivir	Neuraminidase Inhibitors
oseltamivir	Polycyclic Compounds
rupatadine	Antihistamines for Systemic Use
rupatadine	Benzocycloheptenes
rupatadine	Dibenzocycloheptenes
rupatadine	Heterocyclic Compounds
rupatadine	Heterocyclic Compounds, 1-Ring
rupatadine	Histamine Antagonists
rupatadine	Histamine H1 Antagonists
rupatadine	Histamine H1 Antagonists, Non-Sedating
rupatadine	Hydrocarbons
rupatadine	Hydrocarbons, Aromatic
rupatadine	Hydrocarbons, Cyclic
rupatadine	Piperidines
rupatadine	Platelet Activating Factor, antagonists & inhibitors
rupatadine	Polycyclic Compounds
rupatadine	Polycyclic Hydrocarbons, Aromatic
rupatadine	Respiratory System
bordetella pertussis pertactin antigen	Amino Acids, Peptides, and Proteins
bordetella pertussis pertactin antigen	Bacterial Proteins
bordetella pertussis pertactin antigen	Bacterial Toxins
bordetella pertussis pertactin antigen	Biological Factors
bordetella pertussis pertactin antigen	Bordetella bronchiseptica
bordetella pertussis pertactin antigen	Bordetella pertussis
bordetella pertussis pertactin antigen	Membrane Proteins
bordetella pertussis pertactin antigen	Proteins
bordetella pertussis pertactin antigen	Toxins, Biological
bordetella pertussis pertactin antigen	Virulence Factors
protokylol	Adrenergic Agonists
protokylol	Adrenergic beta-2 Receptor Agonists
protokylol	Adrenergic beta-Agonists
protokylol	Agents to Treat Airway Disease
protokylol	Alcohols
protokylol	Amines
protokylol	Amino Alcohols
protokylol	Biogenic Amines
protokylol	Biogenic Monoamines
protokylol	Catecholamines
protokylol	Dioxoles
protokylol	Epinephrine
protokylol	Ethanolamines
protokylol	Heterocyclic Compounds
protokylol	Heterocyclic Compounds, 1-Ring
protokylol	Long-acting beta-adrenoceptor agonists
polysorbate 80	Alcohols
polysorbate 80	Artificial Tears
polysorbate 80	Biomedical and Dental Materials
polysorbate 80	Drug Delivery Systems
polysorbate 80	Drug Therapy
polysorbate 80	Ethylene Glycols
polysorbate 80	Excipients
polysorbate 80	Glycols
polysorbate 80	Macromolecular Substances
polysorbate 80	Manufactured Materials
polysorbate 80	Pharmaceutic Aids
polysorbate 80	Pharmaceutical Preparations
polysorbate 80	Pharmaceutical Vehicles
polysorbate 80	Polyethylene Glycols
polysorbate 80	Polymers
polysorbate 80	Specialty Uses of Chemicals
polysorbate 80	Surface-Active Agents
polysorbate 80	Technology, Industry, and Agriculture
polysorbate 80	Therapeutics
pear	Non-Standardized Food Allergenic Extract
fenpropidin	Heterocyclic Compounds
fenpropidin	Heterocyclic Compounds, 1-Ring
acetylcysteine	Amino Acids
acetylcysteine	Amino Acids, Neutral
acetylcysteine	Amino Acids, Peptides, and Proteins
acetylcysteine	Amino Acids, Sulfur
acetylcysteine	Anti-Infective Agents
acetylcysteine	Antidote for Acetaminophen Overdose
acetylcysteine	Antidotes
acetylcysteine	Antioxidants
acetylcysteine	Antiviral Agents
acetylcysteine	Cough and Cold Preparations
acetylcysteine	Cysteine
acetylcysteine	Expectorants
acetylcysteine	Free Radical Scavengers
acetylcysteine	Ophthalmologicals
acetylcysteine	Protective Agents
acetylcysteine	Respiratory System
acetylcysteine	Respiratory System Agents
acetylcysteine	Sensory Organs
acetylcysteine	Specialty Uses of Chemicals
acetylcysteine	Sulfhydryl Compounds
acetylcysteine	Sulfur Compounds
ulipristal	Contraceptive Agents
ulipristal	Contraceptive Agents, Female
ulipristal	Contraceptives, Postcoital
ulipristal	Cytochrome P-450 CYP1A2 Substrates
ulipristal	Cytochrome P-450 CYP3A Substrates
ulipristal	Cytochrome P-450 CYP3A4 Substrates
ulipristal	Genito Urinary System and Sex Hormones
ulipristal	Hormonal Contraceptives for Systemic Use
ulipristal	Norpregnanes
ulipristal	Norsteroids
ulipristal	Polycyclic Compounds
ulipristal	Progesterone Agonist/Antagonist
ulipristal	Progesterone Receptor Modulators
ulipristal	Sex Hormones and Modulators of the Genital System
ulipristal	Steroids
tetracycline	Alimentary Tract and Metabolism
tetracycline	Anti-Bacterial Agents
tetracycline	Anti-Infective Agents
tetracycline	Antibacterials for Systemic Use
tetracycline	Antibiotics for Topical Use
tetracycline	Antiinfectives and Antiseptics for Local Oral Treatment
tetracycline	Antiinfectives for Systemic Use
tetracycline	Cytochrome P-450 Enzyme Inhibitors
tetracycline	Dermatologicals
tetracycline	Drugs for Acid Related Disorders
tetracycline	Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord)
tetracycline	Enzyme Inhibitors
tetracycline	Hydrocarbons
tetracycline	Hydrocarbons, Aromatic
tetracycline	Hydrocarbons, Cyclic
tetracycline	Naphthacenes
tetracycline	OAT3 Substrates
tetracycline	Ophthalmological and Otological Preparations
tetracycline	Ophthalmologicals
tetracycline	Otologicals
tetracycline	P-glycoprotein/ABCB1 Substrates
tetracycline	Polycyclic Compounds
tetracycline	Polycyclic Hydrocarbons, Aromatic
tetracycline	Protein Synthesis Inhibitors
tetracycline	Sensory Organs
tetracycline	Stomatological Preparations
tetracycline	Tetracycline and Derivatives
tetracycline	Tetracycline-class Antimicrobial
tetracycline	Tetracyclines
cariprazine	Antipsychotic Agents
cariprazine	Antipsychotic Agents (Second Generation [Atypical])
cariprazine	Central Nervous System Depressants
cariprazine	Dopamine Agonists
cariprazine	Dopamine D2 Receptor Agonists
cariprazine	Heterocyclic Compounds
cariprazine	Heterocyclic Compounds, 1-Ring
cariprazine	Histamine Antagonists
cariprazine	Histamine H1 Antagonists
cariprazine	Nervous System
cariprazine	Psycholeptics
cariprazine	Serotonin 5-HT1 Receptor Agonists
cariprazine	Serotonin 5-HT2 Receptor Antagonists
cariprazine	Serotonin Receptor Agonists
cariprazine	Serotonin Receptor Antagonists
oxacillin	Amides
oxacillin	Anti-Bacterial Agents
oxacillin	Anti-Infective Agents
oxacillin	Antibacterials for Systemic Use
oxacillin	Antiinfectives for Systemic Use
oxacillin	Aza Compounds
oxacillin	Azabicyclo Compounds
oxacillin	Beta-Lactam Antibacterials, Penicillins
oxacillin	Beta-Lactamase Resistant Penicillins
oxacillin	beta-Lactams
oxacillin	Bicyclo Compounds
oxacillin	Bicyclo Compounds, Heterocyclic
oxacillin	Bridged Compounds
oxacillin	Heterocyclic Compounds
oxacillin	Heterocyclic Compounds, 1-Ring
oxacillin	Heterocyclic Compounds, 2-Ring
oxacillin	Heterocyclic Compounds, Bridged-Ring
oxacillin	Hydrocarbons
oxacillin	Hydrocarbons, Cyclic
oxacillin	Lactams
oxacillin	Penicillins
oxacillin	Polycyclic Compounds
oxacillin	Sulfur Compounds
reposal	Barbiturates, Plain
reposal	Central Nervous System Depressants
reposal	Hypnotics and Sedatives
reposal	Nervous System
reposal	Psycholeptics
nafcillin	Amides
nafcillin	Anti-Bacterial Agents
nafcillin	Anti-Infective Agents
nafcillin	Antibacterials for Systemic Use
nafcillin	Antiinfectives for Systemic Use
nafcillin	Aza Compounds
nafcillin	Azabicyclo Compounds
nafcillin	Beta-Lactam Antibacterials, Penicillins
nafcillin	Beta-Lactamase Resistant Penicillins
nafcillin	beta-Lactams
nafcillin	Bicyclo Compounds
nafcillin	Bicyclo Compounds, Heterocyclic
nafcillin	Bridged Compounds
nafcillin	Cytochrome P-450 CYP3A Inducers
nafcillin	Cytochrome P-450 CYP3A4 Inducers
nafcillin	Cytochrome P-450 CYP3A4 Inducers (moderate)
nafcillin	Cytochrome P-450 Enzyme Inducers
nafcillin	Heterocyclic Compounds
nafcillin	Heterocyclic Compounds, 1-Ring
nafcillin	Heterocyclic Compounds, 2-Ring
nafcillin	Heterocyclic Compounds, Bridged-Ring
nafcillin	Hydrocarbons
nafcillin	Hydrocarbons, Cyclic
nafcillin	Lactams
nafcillin	Penicillins
nafcillin	Polycyclic Compounds
nafcillin	Sulfur Compounds
interferon gamma-1b	Amino Acids, Peptides, and Proteins
interferon gamma-1b	Biological Factors
interferon gamma-1b	Cytochrome P-450 Enzyme Inhibitors
interferon gamma-1b	Cytokines
interferon gamma-1b	Intercellular Signaling Peptides and Proteins
interferon gamma-1b	Interferon gamma
interferon gamma-1b	Interferons
interferon gamma-1b	Lymphokines
interferon gamma-1b	Macrophage-Activating Factors
interferon gamma-1b	Peptides
interferon gamma-1b	Proteins
dichlorobenzyl alcohol	Alcohols
dichlorobenzyl alcohol	Anti-Infective Agents, Local
dichlorobenzyl alcohol	Benzene Derivatives
dichlorobenzyl alcohol	Benzyl Compounds
dichlorobenzyl alcohol	Hydrocarbons
dichlorobenzyl alcohol	Hydrocarbons, Aromatic
dichlorobenzyl alcohol	Hydrocarbons, Cyclic
dichlorobenzyl alcohol	Respiratory System
dichlorobenzyl alcohol	Throat Preparations
lutein	Dietary Supplements
lutein	Supplements
bexarotene	Anticarcinogenic Agents
bexarotene	Antineoplastic Agents
bexarotene	Antineoplastic and Immunomodulating Agents
bexarotene	Cytochrome P-450 CYP3A Inducers
bexarotene	Cytochrome P-450 Enzyme Inducers
bexarotene	Hydrocarbons
bexarotene	Hydrocarbons, Aromatic
bexarotene	Hydrocarbons, Cyclic
bexarotene	Immunosuppressive Agents
bexarotene	Myelosuppressive Agents
bexarotene	Naphthalenes
bexarotene	Polycyclic Compounds
bexarotene	Polycyclic Hydrocarbons, Aromatic
